2024-09-20 12:26:18 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:18 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.104.91.27, Protocol: TCP
2024-09-20 12:26:18 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.104.91.27, Protocol: TCP
2024-09-20 12:26:18 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.104.91.27, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.104.91.27, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:19 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:20 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:20 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:20 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:20 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:20 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:21 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:22 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:22 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:24 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:24 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:30:23 - MainProcess - ERROR - Error loading policies from policies.json: [Errno 2] No such file or directory: 'policies.json'
2024-09-20 12:30:23 - MainProcess - INFO - Fetching updated policies...
2024-09-20 12:30:23 - MainProcess - ERROR - Error loading policies from policies.json: [Errno 2] No such file or directory: 'policies.json'
2024-09-20 12:30:23 - MainProcess - INFO - Updated policies loaded.
2024-09-20 12:30:24 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:24 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
2024-09-20 12:30:24 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 20.60.88.36, Protocol: TCP
